Kod	Nazwa
04S12/05 F/F grey/d.br.	Sklejka liściasta foliowana 4x1250x2500 F/F grey/dark brown
04S12/05 F/F l.br.	Sklejka liściasta foliowana 4x1250x2500 F/F light brown
04S12/05 F/F TE	Sklejka liściasta foliowana topolowa 4x1250x2500 F/F
04S12/07 F/F grey	Sklejka liściasta foliowana 4x1500x2500 F/F grey
04S12/09 F/F grey	Sklejka liściasta foliowana 4x1525x2500 F/F grey
04S12/09 F/F grey/d.br	Sklejka liściasta foliowana 4x1525x2500 F/F grey/dark brown
04S12/11 F/F	Sklejka liściasta foliowana 4x1525x3050 F/F
04S12/11 F/F grey	Sklejka liściasta foliowana 4x1525x3050 F/F grey
04S12/11 F/F grey/l.br.	Sklejka liściasta foliowana 4x1525x3050 F/F grey/ light brown
04S12/11 F/F l.br	Sklejka liściasta foliowana 4x1525x3050 F/F light brown
04S12/12 F/F	Sklejka liściasta foliowana 4x1500x3000 F/F
04S12/12 F/F EUK	Sklejka foliowana eukaliptus 4x1500x3000 F/F
04S12/12 F/F grey	Sklejka liściasta foliowana 4x1500x3000 F/F grey
04S12/12 F/F grey/d.br	Sklejka liściasta foliowana 4x1500x3000 F/F grey/dark brown
04S12/12 F/F l.br.	Sklejka liściasta foliowana 4x1500x3000 F/F light brown
04S12/29 F/F	Sklejka liściasta foliowana 4x1250x3050 F/F
04S12/29 F/F l.br.	Sklejka liściasta foliowana 4x1250x3050 F/F light brown
04S13/05 F/F	Sklejka liściasta foliowana 4x1250x2500 F/F
04S13/05 F/F grey	Sklejka liściasta foliowana 4x1250x2500 F/F grey
04S13/05 F/F l.br.	Sklejka liściasta foliowana 4x1250x2500 F/F light brown
04S13/11 F/F grey	Sklejka liściasta foliowana 4x1525x3050 F/F grey
04S13/11 F/F l.br	Sklejka liściasta foliowana 4x1525x3050 F/F light brown
04S13/12 F/F	Sklejka liściasta foliowana 4x1500x3000 F/F
04S13/12 F/F grey	Sklejka liściasta foliowana 4x1500x3000 F/F grey
04S13/12 F/F l.br.	Sklejka liściasta foliowana 4x1500x3000 F/F light brown
04S13/63 F/F grey	Sklejka liściasta foliowana 4x1250x2700 F/F grey
04S13/87 F/F	Sklejka liściasta foliowana 4x1250x2800 F/F
04S14/05 F/W CH	Sklejka liściasta (brzoza/topola) foliowana 4x1250x2500 F/W
04S18/02	Sklejka liściasta suchotrwała 4x1525x1525 CP/C
04S18/02 B	Sklejka liściasta suchotrwała 4x1525x1525 CP/C
04S18/03 E	Sklejka liściasta wodoodporna 4x1220x2440 CP/C
04S18/04 E	Sklejka liściasta wodoodporna 4x2440x1220mm CP/C
04S18/05 E	Sklejka liściasta wodoodporna 4x1250x2500 CP/C
04S18/06 E	Sklejka liściasta wodoodporna 4x2500x1250 CP/C
04S18/11 E	Sklejka liściasta wodoodporna 4x1525x3050 CP/C
04S18/12 E	Sklejka liściasta wodoodporna 4x1500x3000 CP/C
04S21/18 F/WG	Sklejka liściasta foliowana 4x1550x3080 F/WG
04S22/02	Sklejka liściasta suchotrwała 4x1525x1525 BB/C
